Type,crit_min_sbr,crit_max_sbr,max_R0
Empirical,0.3424657534246575,NA,1.5173250845831554
Exponential,NA,NA,0.758662146923077
Mechanistic~(lambda[Q]),NA,NA,0.9386450212686934
Mechanistic~(p[G]),0.053190643489006165,0.19039463303118526,1.5868483566666518
Mechanistic~(p[P]),0.0544814277239505,1.2982833694820863,1.6461580477631281
Phenomenological,1,NA,1.1531620857508527
Standard,1.2106135117099481,NA,60.12041744735576
